企业 id,开始经�?开始时�?开始纬�?用户id,结束经度,结束纬度,结束时间,,,
-,113.845029,"	2021-08-31 01:11:35.0",22.8088346,2c2c7406b47706d2088f01**********,113.8458987,22.8048234,"	2021-08-31 01:21:01.0"
-,113.8560919,"	2021-08-31 01:11:32.0",22.5750724,2cfaa0f1f3ebd12d062c9d**********,113.8691052,22.57015489,"	2021-08-31 01:18:24.0"
-,113.923926,"	2021-08-31 01:11:31.0",22.527592,edc29d6d6b27204ab88be0**********,113.920447,22.532632,"	2021-08-31 01:27:00.0"
-,114.0056947,"	2021-08-31 01:11:29.0",22.6793226,a3e6bc644d7c4060b8ad3d**********,113.9962158,22.68566326,"	2021-08-31 01:19:40.0"
-,113.8706562,"	2021-08-31 01:11:29.0",22.7874289,923111e4475fbf912a79d5**********,113.8746613,22.78184163,"	2021-08-31 01:19:22.0"
-,113.950539,"	2021-08-31 01:11:28.0",22.560801,ddf53be3cfae047dbe080c**********,113.951657,22.559101,"	2021-08-31 01:13:26.0"
-,113.9965492,"	2021-08-31 01:11:27.0",22.6762432,91755782b6b540b3126206**********,113.920651,22.584787,"	2021-08-31 01:12:12.0"
-,113.8609532,"	2021-08-31 01:11:26.0",22.7443248,0b0701b9b2c269efcb475a**********,113.8707842,22.75391394,"	2021-08-31 01:20:07.0"
-,113.9937221,"	2021-08-31 01:11:25.0",22.6720448,c114fa26efa1540c6230a1**********,113.993278,22.67326903,"	2021-08-31 01:11:37.0"
-,113.8105496,"	2021-08-31 01:11:24.0",22.6853388,9ab49893d3923c99735739**********,113.8123133,22.68944244,"	2021-08-31 01:16:10.0"
-,113.8803952,"	2021-08-31 01:11:21.0",22.5545893,fa05e1b1a6ca5e6bcc016d**********,113.8754469,22.56530717,"	2021-08-31 01:21:42.0"
-,114.0535316,"	2021-08-31 01:11:18.0",22.5204492,143fa8a1250cacd376bcdd**********,113.925977,22.582112,"	2021-08-31 01:15:44.0"
-,113.8636925,"	2021-08-31 01:11:16.0",22.56233044,6a287bad2c626ee0f358a2**********,113.8635326,22.56251763,"	2021-08-31 01:11:45.0"
-,113.8288818,"	2021-08-31 01:11:15.0",22.7538919,a513aff1126c9ac3c4a44a**********,113.838158,22.74825465,"	2021-08-31 01:20:00.0"
-,113.8253619,"	2021-08-31 01:11:14.0",22.6501318,0c715b09c582625ca82533**********,113.8276665,22.64746424,"	2021-08-31 01:13:45.0"
-,113.937932,"	2021-08-31 01:11:13.0",22.509852,4ab518a6fa4ddc585e066e**********,113.932216,22.510016,"	2021-08-31 01:14:54.0"
-,113.9079343,"	2021-08-31 01:11:08.0",22.5784907,742945c1a7c5519dfdff3d**********,113.908524,22.5807937,"	2021-08-31 01:12:53.0"
-,113.8406727,"	2021-08-31 01:11:05.0",22.6946102,fe19a955304eb9659b1e8e**********,113.8396911,22.68919514,"	2021-08-31 01:16:45.0"
-,113.8475366,"	2021-08-31 01:11:05.0",22.6280816,6a58f12f9b648b471ad0d9**********,113.8497464,22.62511607,"	2021-08-31 01:15:47.0"
-,113.8524805,"	2021-08-31 01:11:04.0",22.7490495,180483d8475d64de2246cc**********,113.8586431,22.75052461,"	2021-08-31 01:19:30.0"
-,113.8215793,"	2021-08-31 01:11:01.0",22.6957945,954ea42065428cbcad83b1**********,113.831132,22.7013185,"	2021-08-31 01:21:11.0"
